scenario_id,vehicle_id,cluster,margin,cluster2,is_edge
f7109a0d98f1b3a3,1554,2,1.753,1,0
f7109a0d98f1b3a3,1556,2,1.786,1,0
f7109a0d98f1b3a3,1558,2,1.412,1,0
f7109a0d98f1b3a3,1559,2,1.206,1,0
f7109a0d98f1b3a3,1561,0,1.655,2,0
f7109a0d98f1b3a3,1563,0,5.464,2,0
f7109a0d98f1b3a3,1564,0,2.735,2,0
f7109a0d98f1b3a3,1568,0,10.048,2,0
f7109a0d98f1b3a3,1533,2,5.493,3,0
c11e66f13895fbef,961,0,2.702,2,0
c11e66f13895fbef,794,3,1.992,2,0
c11e66f13895fbef,796,0,1.369,2,0
40f63c818a1ebd15,1310,3,4.595,2,0
40f63c818a1ebd15,847,2,1.78,1,0
40f63c818a1ebd15,855,3,3.112,2,0
fa385666d7e3a760,1798,2,2.426,1,0
fa385666d7e3a760,1799,2,1.375,1,0
6145b9fa0b004fbc,732,2,1.195,3,1
6145b9fa0b004fbc,623,3,3.252,2,0
6145b9fa0b004fbc,634,2,1.666,3,0
8cc2fa48493a9f13,5503,3,1.81,2,0
8cc2fa48493a9f13,2434,2,1.009,1,1
8cc2fa48493a9f13,2442,0,1.102,2,1
8cc2fa48493a9f13,2448,2,2.264,0,0
8cc2fa48493a9f13,2449,2,1.007,0,1
8cc2fa48493a9f13,2454,2,1.492,3,0
8cc2fa48493a9f13,2459,2,1.829,1,0
8cc2fa48493a9f13,2460,1,1.817,2,0
8cc2fa48493a9f13,2422,2,2.22,1,0
f6d9b75b07e018d6,183,1,3.401,2,0
f6d9b75b07e018d6,144,2,3.596,0,0
f6d9b75b07e018d6,163,3,2.073,2,0
4ae50d0fa38c3aab,841,1,1.003,3,1
4ae50d0fa38c3aab,529,2,1.724,0,0
97f8a893ad0f2d18,1024,2,1.515,0,0
97f8a893ad0f2d18,1034,0,1.682,2,0
97f8a893ad0f2d18,1036,0,1.848,2,0
97f8a893ad0f2d18,1039,2,3.191,1,0
97f8a893ad0f2d18,1040,3,2.899,2,0
97f8a893ad0f2d18,1000,1,1.741,2,0
97f8a893ad0f2d18,1007,3,1.234,1,0
e960ba0a08a5b7d7,3293,0,5.665,2,0
e960ba0a08a5b7d7,1026,0,2.585,2,0
e960ba0a08a5b7d7,1028,2,4.522,3,0
e960ba0a08a5b7d7,974,0,3.751,2,0
e960ba0a08a5b7d7,977,0,6.08,2,0
e960ba0a08a5b7d7,981,0,5.262,2,0
e960ba0a08a5b7d7,982,0,6.124,2,0
e960ba0a08a5b7d7,985,0,5.669,2,0
e960ba0a08a5b7d7,986,0,5.513,2,0
e960ba0a08a5b7d7,989,0,4.208,2,0
e960ba0a08a5b7d7,991,0,5.275,2,0
e960ba0a08a5b7d7,999,0,5.145,2,0
e960ba0a08a5b7d7,1000,2,2.02,0,0
e960ba0a08a5b7d7,1003,2,3.602,3,0
e960ba0a08a5b7d7,1007,2,1.36,3,0
e960ba0a08a5b7d7,1009,2,2.56,1,0
e960ba0a08a5b7d7,1012,2,3.498,1,0
e960ba0a08a5b7d7,1016,2,4.003,1,0
e960ba0a08a5b7d7,1017,0,1.655,2,0
86fe937ec6627b28,1647,2,2.537,3,0
86fe937ec6627b28,1172,2,2.162,1,0
86fe937ec6627b28,1173,2,4.139,3,0
86fe937ec6627b28,1174,2,3.123,1,0
86fe937ec6627b28,1175,2,4.442,3,0
86fe937ec6627b28,1176,2,2.153,1,0
86fe937ec6627b28,1177,0,1.209,2,0
86fe937ec6627b28,1178,2,4.4,3,0
86fe937ec6627b28,1179,2,5.168,3,0
86fe937ec6627b28,1180,3,1.266,2,0
86fe937ec6627b28,1181,2,1.975,1,0
86fe937ec6627b28,1182,2,1.476,1,0
86fe937ec6627b28,1183,2,5.252,3,0
86fe937ec6627b28,1184,2,1.549,1,0
86fe937ec6627b28,1185,2,1.893,1,0
86fe937ec6627b28,1186,2,3.109,1,0
86fe937ec6627b28,1188,0,2.47,2,0
86fe937ec6627b28,1189,2,1.023,1,1
86fe937ec6627b28,1191,1,1.176,2,1
86fe937ec6627b28,1195,0,3.195,2,0
cc027b18d403758e,115,2,3.88,0,0
cc027b18d403758e,76,2,2.496,0,0
cc027b18d403758e,77,2,7.378,3,0
cc027b18d403758e,78,0,1.042,2,1
cc027b18d403758e,80,2,2.069,0,0
cc027b18d403758e,81,2,5.999,3,0
cc027b18d403758e,82,2,1.741,0,0
cc027b18d403758e,85,2,3.971,0,0
cc027b18d403758e,86,2,3.131,0,0
cc027b18d403758e,87,2,2.697,0,0
cc027b18d403758e,88,2,1.181,0,1
a90923a5fb7fb36c,1636,0,5.679,2,0
a90923a5fb7fb36c,1087,0,4.181,2,0
a90923a5fb7fb36c,1089,0,5.093,2,0
a90923a5fb7fb36c,1091,0,5.503,2,0
a90923a5fb7fb36c,1097,0,5.553,2,0
a90923a5fb7fb36c,1098,0,2.814,2,0
a90923a5fb7fb36c,1101,0,1.832,2,0
a90923a5fb7fb36c,1103,0,4.184,2,0
a90923a5fb7fb36c,1123,0,2.465,2,0
a90923a5fb7fb36c,1130,2,1.308,1,0
a90923a5fb7fb36c,1133,0,3.701,2,0
bad10b46a9c38891,711,1,13.546,2,0
bad10b46a9c38891,674,3,2.13,1,0
bad10b46a9c38891,683,2,3.75,3,0
bad10b46a9c38891,686,1,4.163,2,0
bad10b46a9c38891,688,1,1.222,2,0
31dcef2ee7ea95b4,1773,1,6.366,2,0
31dcef2ee7ea95b4,1245,1,1.56,2,0
31dcef2ee7ea95b4,1246,2,1.735,0,0
31dcef2ee7ea95b4,1247,3,1.927,1,0
31dcef2ee7ea95b4,1249,2,3.039,0,0
31dcef2ee7ea95b4,1258,1,2.462,2,0
34b9c465b45a0742,1909,2,5.654,3,0
34b9c465b45a0742,1564,2,7.151,3,0
a87304c8e75602fb,2885,0,1.802,2,0
a87304c8e75602fb,245,0,2.938,2,0
a87304c8e75602fb,246,0,5.126,2,0
a87304c8e75602fb,247,0,3.6,2,0
a87304c8e75602fb,254,0,1.222,2,0
18d5c94710e82e83,2502,3,2.665,2,0
18d5c94710e82e83,1665,2,2.695,3,0
18d5c94710e82e83,1666,2,3.233,3,0
13e3bcdcbf23c837,4407,2,4.066,0,0
13e3bcdcbf23c837,4239,0,1.867,2,0
13e3bcdcbf23c837,4240,2,3.248,0,0
13e3bcdcbf23c837,4241,2,4.657,0,0
13e3bcdcbf23c837,4242,2,5.753,3,0
13e3bcdcbf23c837,4243,2,3.944,1,0
13e3bcdcbf23c837,4244,2,5.201,3,0
13e3bcdcbf23c837,4245,0,2.067,2,0
13e3bcdcbf23c837,4246,0,1.818,2,0
13e3bcdcbf23c837,4247,2,5.446,3,0
13e3bcdcbf23c837,4249,2,2.124,1,0
13e3bcdcbf23c837,4252,2,2.439,1,0
13e3bcdcbf23c837,4253,2,5.075,3,0
13e3bcdcbf23c837,4254,2,3.771,1,0
13e3bcdcbf23c837,4255,2,4.268,0,0
13e3bcdcbf23c837,4257,0,1.637,2,0
13e3bcdcbf23c837,4258,2,1.397,1,0
13e3bcdcbf23c837,4259,2,1.785,1,0
13e3bcdcbf23c837,4260,2,1.432,1,0
13e3bcdcbf23c837,4261,2,4.168,0,0
13e3bcdcbf23c837,4262,2,5.772,3,0
13e3bcdcbf23c837,4264,2,5.762,3,0
13e3bcdcbf23c837,4265,2,1.284,1,0
13e3bcdcbf23c837,4268,2,7.157,3,0
13e3bcdcbf23c837,4271,0,1.951,2,0
13e3bcdcbf23c837,4273,0,2.228,2,0
3d53ed1b5be06067,860,2,1.238,1,0
3d53ed1b5be06067,24,3,2.56,2,0
dd63375d03253ce4,953,2,1.849,0,0
46e463717e41f9a6,8655,1,1.063,2,1
46e463717e41f9a6,3595,2,1.8,3,0
46e463717e41f9a6,3606,2,1.19,1,1
e50d279e3c1cb38d,3858,2,2.063,0,0
e50d279e3c1cb38d,3273,2,7.811,3,0
e50d279e3c1cb38d,3282,0,1.645,2,0
e50d279e3c1cb38d,3295,0,1.909,2,0
e50d279e3c1cb38d,3296,1,2.784,3,0
e50d279e3c1cb38d,3301,0,1.967,2,0
f227e3bc073775c0,3068,3,2.668,2,0
f227e3bc073775c0,351,3,2.292,2,0
f227e3bc073775c0,353,2,2.3,3,0
d749be512a7c69bb,1855,0,4.404,2,0
d749be512a7c69bb,1834,0,1.784,2,0
d749be512a7c69bb,1835,0,1.157,2,1
d749be512a7c69bb,1836,0,4.41,2,0
7cc90d6b1e01ef97,1047,2,1.08,1,1
7cc90d6b1e01ef97,981,0,1.174,2,1
856161cdb71cd91f,1946,3,1.62,2,0
856161cdb71cd91f,1500,2,3.421,3,0
856161cdb71cd91f,1501,3,2.946,2,0
856161cdb71cd91f,1504,3,3.001,2,0
856161cdb71cd91f,1525,3,1.137,2,1
2dc1a7be6d37159a,4506,2,1.187,1,1
2dc1a7be6d37159a,2640,1,5.272,2,0
eb8b170fd223b3be,3705,2,2.32,0,0
eb8b170fd223b3be,1233,2,2.817,0,0
eb8b170fd223b3be,1251,2,2.579,0,0
b884e994a8295fe2,1159,2,3.8,3,0
b884e994a8295fe2,339,3,2.427,2,0
b884e994a8295fe2,365,1,1.388,3,0
3da61d626cc4340e,492,2,4.913,3,0
3da61d626cc4340e,267,2,4.71,3,0
3da61d626cc4340e,271,3,3.363,2,0
b8c89ef309ade6fc,897,3,4.189,2,0
b8c89ef309ade6fc,691,2,4.351,3,0
be9df3dbf6b2d069,113,2,2.616,1,0
be9df3dbf6b2d069,13,3,2.081,1,0
be9df3dbf6b2d069,21,0,4.823,2,0
be9df3dbf6b2d069,24,0,4.785,2,0
a796d9bc3e51dbe2,1378,2,4.932,3,0
a796d9bc3e51dbe2,965,3,3.353,2,0
2cd2b257bf5504d8,2167,0,2.83,2,0
2cd2b257bf5504d8,769,0,3.835,2,0
2cd2b257bf5504d8,770,0,4.0,2,0
2cd2b257bf5504d8,772,0,3.083,2,0
2cd2b257bf5504d8,773,3,1.597,2,0
2cd2b257bf5504d8,774,0,4.006,2,0
2cd2b257bf5504d8,776,0,4.342,2,0
2cd2b257bf5504d8,778,0,1.927,2,0
2cd2b257bf5504d8,785,0,2.726,2,0
9b2c7714b1ed7ea4,4485,2,4.494,3,0
9b2c7714b1ed7ea4,2319,2,2.176,0,0
ba9a292606c4f81d,1199,0,3.152,2,0
ba9a292606c4f81d,999,0,4.613,2,0
ba9a292606c4f81d,1000,0,4.655,2,0
ba9a292606c4f81d,1001,0,2.808,2,0
ba9a292606c4f81d,1004,0,3.849,2,0
ba9a292606c4f81d,1005,0,2.549,2,0
ae74d6d264c8eacc,97,2,4.429,3,0
ae74d6d264c8eacc,0,2,5.913,3,0
ae74d6d264c8eacc,2,2,2.902,0,0
ae74d6d264c8eacc,3,2,2.031,0,0
ae74d6d264c8eacc,4,2,3.709,3,0
ae74d6d264c8eacc,5,2,3.441,1,0
ae74d6d264c8eacc,6,2,5.415,3,0
ae74d6d264c8eacc,7,2,5.819,3,0
ae74d6d264c8eacc,8,2,2.413,0,0
ae74d6d264c8eacc,9,2,3.131,1,0
ae74d6d264c8eacc,10,2,2.076,0,0
ae74d6d264c8eacc,11,2,4.303,3,0
ae74d6d264c8eacc,13,2,2.647,0,0
ae74d6d264c8eacc,16,2,3.207,0,0
ae74d6d264c8eacc,17,2,1.759,0,0
ae74d6d264c8eacc,18,2,1.597,0,0
ae74d6d264c8eacc,19,2,4.438,3,0
ae74d6d264c8eacc,20,2,4.661,0,0
ae74d6d264c8eacc,21,2,2.513,0,0
ae74d6d264c8eacc,22,2,1.759,0,0
ae74d6d264c8eacc,25,2,1.04,1,1
ae74d6d264c8eacc,26,2,5.421,3,0
ae74d6d264c8eacc,29,2,1.708,1,0
ae74d6d264c8eacc,30,2,1.449,1,0
ae74d6d264c8eacc,31,2,5.183,3,0
ae74d6d264c8eacc,32,2,3.845,0,0
ae74d6d264c8eacc,34,2,1.982,0,0
ae74d6d264c8eacc,37,2,5.091,3,0
ae74d6d264c8eacc,39,2,5.976,3,0
3060ac9600d5eccd,1313,1,5.099,2,0
3060ac9600d5eccd,1176,2,2.203,0,0
3060ac9600d5eccd,1178,2,1.63,0,0
3f597a6562f05f19,6073,2,4.288,0,0
3f597a6562f05f19,1343,2,1.59,0,0
3f597a6562f05f19,1372,1,2.515,2,0
4cecf560f99ede2e,5015,3,1.471,2,0
4cecf560f99ede2e,3148,3,1.669,2,0
489ad3d3bbec5c2f,1281,3,3.468,2,0
489ad3d3bbec5c2f,435,3,2.278,2,0
8d583a6b0ee7396f,2387,0,1.954,2,0
8d583a6b0ee7396f,1701,0,6.844,2,0
8d583a6b0ee7396f,1702,0,1.651,2,0
8d583a6b0ee7396f,1703,0,1.471,2,0
8d583a6b0ee7396f,1705,0,8.393,2,0
3e944dc5bd71c99e,5982,1,4.08,2,0
3e944dc5bd71c99e,3495,2,1.137,1,1
3e944dc5bd71c99e,3499,1,1.064,3,1
e0555f9efa7759a2,2094,3,2.364,1,0
e0555f9efa7759a2,656,2,1.237,1,0
e0555f9efa7759a2,657,0,1.477,2,0
e0555f9efa7759a2,661,1,1.017,2,1
e0555f9efa7759a2,666,1,1.596,2,0
e0555f9efa7759a2,668,1,2.692,2,0
e0555f9efa7759a2,669,0,2.528,2,0
e0555f9efa7759a2,670,0,2.79,2,0
e0555f9efa7759a2,671,1,3.616,2,0
e0555f9efa7759a2,672,2,3.399,1,0
e0555f9efa7759a2,674,0,3.744,2,0
539a9d8e65e9cd12,3988,2,3.294,3,0
539a9d8e65e9cd12,220,2,1.666,1,0
6873e5fd265ef30e,1665,3,4.162,2,0
6873e5fd265ef30e,643,3,5.596,2,0
1b25c37819790793,1550,0,2.308,2,0
1b25c37819790793,1362,3,3.1,2,0
1b25c37819790793,1372,0,4.645,2,0
1b25c37819790793,1376,0,2.143,2,0
1b25c37819790793,1378,0,2.869,2,0
1b25c37819790793,1379,0,3.221,2,0
1b25c37819790793,1380,0,3.208,2,0
1b25c37819790793,1381,0,3.801,2,0
1b25c37819790793,1382,0,5.009,2,0
1b25c37819790793,1383,0,3.961,2,0
1b25c37819790793,1385,0,4.867,2,0
87506e6977974872,793,2,1.409,3,0
87506e6977974872,723,2,2.783,1,0
2b233856c4ec00ab,952,0,4.446,2,0
2b233856c4ec00ab,757,0,3.832,2,0
2b233856c4ec00ab,758,0,4.577,2,0
2b233856c4ec00ab,759,0,3.274,2,0
2b233856c4ec00ab,760,0,3.106,2,0
fe063e29f0266f09,2978,1,7.382,2,0
fe063e29f0266f09,113,1,2.132,2,0
fe063e29f0266f09,114,2,1.254,0,0
fe063e29f0266f09,117,2,1.03,0,1
fe063e29f0266f09,118,2,3.157,0,0
7b4471c388c37869,570,3,3.161,2,0
7b4471c388c37869,150,2,1.696,0,0
7b4471c388c37869,158,0,1.156,2,1
7b4471c388c37869,160,0,2.086,2,0
7b4471c388c37869,163,3,4.711,2,0
7b4471c388c37869,165,0,3.091,2,0
4b00d3fe3c50e35,6992,1,3.279,2,0
4b00d3fe3c50e35,3988,1,5.137,2,0
4b00d3fe3c50e35,3992,2,3.112,1,0
4b00d3fe3c50e35,3997,2,4.49,3,0
906a51210e2f1e5d,4332,1,7.643,2,0
906a51210e2f1e5d,172,1,1.43,3,0
906a51210e2f1e5d,175,3,1.117,2,1
906a51210e2f1e5d,181,3,1.945,2,0
fba0a87747e0c0bf,1741,0,4.437,2,0
fba0a87747e0c0bf,1362,0,4.456,2,0
fba0a87747e0c0bf,1363,0,3.487,2,0
fba0a87747e0c0bf,1364,0,5.081,2,0
508e44d854d8fb30,3305,1,3.629,2,0
508e44d854d8fb30,2610,2,3.551,3,0
508e44d854d8fb30,2623,2,2.446,0,0
508e44d854d8fb30,2624,2,2.58,1,0
84039ac732e1828c,125,1,4.533,2,0
84039ac732e1828c,69,1,6.983,2,0
84039ac732e1828c,70,2,4.321,0,0
84039ac732e1828c,71,1,10.005,2,0
84039ac732e1828c,72,2,1.73,1,0
84039ac732e1828c,73,1,1.402,2,0
84039ac732e1828c,74,2,1.747,1,0
84039ac732e1828c,75,2,4.499,3,0
84039ac732e1828c,76,1,1.285,2,0
84039ac732e1828c,77,1,3.665,2,0
84039ac732e1828c,78,2,4.541,0,0
84039ac732e1828c,79,2,5.547,3,0
84039ac732e1828c,80,2,6.906,3,0
84039ac732e1828c,81,2,3.34,3,0
84039ac732e1828c,82,2,1.547,1,0
84039ac732e1828c,83,2,4.031,3,0
84039ac732e1828c,84,2,5.402,3,0
84039ac732e1828c,85,1,3.447,2,0
84039ac732e1828c,86,2,6.552,3,0
84039ac732e1828c,89,2,1.67,1,0
84039ac732e1828c,90,2,2.241,1,0
84039ac732e1828c,91,2,1.17,1,1
84039ac732e1828c,92,2,1.712,1,0
84039ac732e1828c,94,1,2.738,2,0
84039ac732e1828c,97,2,2.023,1,0
84039ac732e1828c,99,2,2.116,1,0
84039ac732e1828c,101,2,2.846,1,0
928fe0856a3133f0,2975,3,3.208,2,0
928fe0856a3133f0,1843,0,1.302,2,0
928fe0856a3133f0,1849,0,1.297,2,0
928fe0856a3133f0,1851,3,2.187,2,0
928fe0856a3133f0,1853,2,1.976,3,0
5326b69275ef5d2e,6814,1,8.942,2,0
5326b69275ef5d2e,2380,2,2.589,1,0
5326b69275ef5d2e,2381,3,1.543,2,0
5326b69275ef5d2e,2384,3,1.155,2,1
5326b69275ef5d2e,2386,2,1.214,0,0
5326b69275ef5d2e,2389,3,2.941,1,0
5326b69275ef5d2e,2390,2,1.412,0,0
5326b69275ef5d2e,2395,2,4.655,3,0
5326b69275ef5d2e,2398,2,3.905,1,0
5326b69275ef5d2e,2404,2,1.98,1,0
6945ebde84b7889c,1104,2,1.803,3,0
6945ebde84b7889c,1097,3,2.227,2,0
6945ebde84b7889c,1098,3,1.3,1,0
65cb8e736275d1d5,2131,0,6.061,2,0
65cb8e736275d1d5,2101,0,6.019,2,0
65cb8e736275d1d5,2102,0,4.47,2,0
65cb8e736275d1d5,2106,0,1.651,2,0
65cb8e736275d1d5,2107,0,5.655,2,0
65cb8e736275d1d5,2108,0,2.609,2,0
65cb8e736275d1d5,2110,0,3.501,2,0
65cb8e736275d1d5,2111,0,5.659,2,0
65cb8e736275d1d5,2112,0,4.679,2,0
c931e905a9c0323e,1079,3,1.808,1,0
c931e905a9c0323e,806,1,7.945,2,0
c931e905a9c0323e,807,3,5.307,2,0
c931e905a9c0323e,808,3,2.359,2,0
c931e905a9c0323e,809,0,6.801,2,0
43e98022bfe7e59c,4424,2,1.162,0,1
43e98022bfe7e59c,1647,3,2.577,2,0
43e98022bfe7e59c,1667,1,2.763,2,0
ef588a6033931101,2311,1,8.142,2,0
ef588a6033931101,391,2,1.193,3,1
ef588a6033931101,396,1,2.706,2,0
ef588a6033931101,399,3,1.288,2,0
ef588a6033931101,407,1,7.886,2,0
ef588a6033931101,409,1,1.916,2,0
ef588a6033931101,410,1,1.399,2,0
ef588a6033931101,416,2,5.512,3,0
ef588a6033931101,419,1,3.818,2,0
ef588a6033931101,421,1,3.373,2,0
72ea70264f97e977,1745,3,1.934,1,0
72ea70264f97e977,1382,2,2.312,0,0
72ea70264f97e977,1386,0,1.146,2,1
edb3ce41647c6ed0,2249,1,2.216,3,0
edb3ce41647c6ed0,2116,3,1.158,1,1
edb3ce41647c6ed0,2124,2,5.914,3,0
edb3ce41647c6ed0,2132,1,5.801,2,0
edb3ce41647c6ed0,2139,1,3.824,2,0
2d7b8bc63b1a2e91,585,0,4.946,2,0
2d7b8bc63b1a2e91,298,0,1.7,2,0
2d7b8bc63b1a2e91,300,0,1.235,2,0
2d7b8bc63b1a2e91,301,0,3.096,2,0
2d7b8bc63b1a2e91,303,0,4.479,2,0
2d7b8bc63b1a2e91,304,0,5.052,2,0
2d7b8bc63b1a2e91,321,2,1.64,0,0
80ae5962ac1a2b9f,677,2,1.915,0,0
80ae5962ac1a2b9f,395,3,1.135,2,1
80ae5962ac1a2b9f,399,0,1.405,2,0
80ae5962ac1a2b9f,378,3,2.092,2,0
598726e7d57ff8a2,4269,0,1.59,2,0
598726e7d57ff8a2,1536,0,1.071,2,1
598726e7d57ff8a2,1537,3,2.372,2,0
598726e7d57ff8a2,1538,2,1.916,0,0
598726e7d57ff8a2,1541,2,1.334,1,0
1459b72a08b05e1f,529,2,1.299,1,0
1459b72a08b05e1f,256,0,1.17,2,1
1459b72a08b05e1f,257,3,1.103,2,1
1459b72a08b05e1f,261,2,1.191,0,1
1459b72a08b05e1f,262,0,2.051,2,0
1459b72a08b05e1f,265,2,1.755,3,0
1459b72a08b05e1f,268,0,1.271,2,0
1459b72a08b05e1f,269,2,2.21,3,0
1459b72a08b05e1f,270,2,1.439,0,0
1459b72a08b05e1f,226,3,1.542,2,0
1459b72a08b05e1f,227,2,3.531,1,0
1459b72a08b05e1f,228,2,1.049,3,1
1459b72a08b05e1f,231,3,1.444,2,0
1459b72a08b05e1f,232,3,1.143,2,1
1459b72a08b05e1f,243,0,1.073,2,1
1459b72a08b05e1f,245,2,1.496,3,0
1459b72a08b05e1f,247,3,1.112,2,1
1459b72a08b05e1f,253,3,1.147,2,1
1459b72a08b05e1f,254,2,1.324,3,0
71ad79d6b86bcc91,1104,0,4.445,2,0
71ad79d6b86bcc91,854,0,5.488,2,0
71ad79d6b86bcc91,855,0,4.56,2,0
71ad79d6b86bcc91,857,0,5.999,2,0
71ad79d6b86bcc91,858,0,5.198,2,0
71ad79d6b86bcc91,862,0,2.176,2,0
71ad79d6b86bcc91,880,0,1.755,2,0
1dab0158aa3109a4,434,1,3.995,2,0
1dab0158aa3109a4,0,2,4.061,3,0
1dab0158aa3109a4,1,1,1.501,2,0
1dab0158aa3109a4,7,3,1.955,2,0
1dab0158aa3109a4,14,2,1.14,3,1
1dab0158aa3109a4,18,1,2.486,2,0
1dab0158aa3109a4,19,2,1.929,1,0
ebd53366dbfc34b4,2063,3,3.253,2,0
ebd53366dbfc34b4,1765,3,1.017,2,1
6e8ac13b81747370,4320,2,2.468,1,0
6e8ac13b81747370,1609,1,5.557,2,0
6e8ac13b81747370,1610,2,2.458,1,0
6e8ac13b81747370,1613,1,1.203,2,0
6e8ac13b81747370,1622,3,1.088,2,1
6e8ac13b81747370,1663,2,1.37,1,0
3ab9b30fdc5e5bbb,3417,0,2.261,2,0
3ab9b30fdc5e5bbb,1934,0,1.834,2,0
3ab9b30fdc5e5bbb,1936,0,1.944,2,0
3ab9b30fdc5e5bbb,1937,0,2.164,2,0
3ab9b30fdc5e5bbb,1939,0,2.207,2,0
3ab9b30fdc5e5bbb,1942,0,1.891,2,0
3ab9b30fdc5e5bbb,1978,0,1.887,2,0
3ab9b30fdc5e5bbb,2025,0,1.926,2,0
3ab9b30fdc5e5bbb,2026,0,2.583,2,0
3ab9b30fdc5e5bbb,2029,0,2.259,2,0
3ab9b30fdc5e5bbb,2030,0,2.147,2,0
3ab9b30fdc5e5bbb,2032,0,2.484,2,0
3ab9b30fdc5e5bbb,2033,0,2.418,2,0
